reviewer,paper_id,excluded,category,question,raw_value,tag
amar,8DZ6PNVQ,False,General information,License,Not applicable,
amar,8DZ6PNVQ,False,General information,Additional information,No additional information,
amar,8DZ6PNVQ,False,Target platform (RQ1),Deployment,Robot simulation,
amar,8DZ6PNVQ,False,Target platform (RQ1),Robotic device,Parallel robot manipulator,
amar,8DZ6PNVQ,False,Target platform (RQ1),Simulation environment,Gazebo,
amar,8DZ6PNVQ,False,Target platform (RQ1),Domain,Consumer robot,
amar,8DZ6PNVQ,False,Target platform (RQ1),Use case,Navigation,
amar,8DZ6PNVQ,False,Target platform (RQ1),Location,Not applicable,
amar,8DZ6PNVQ,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,8DZ6PNVQ,False,Software characteristics (RQ2),Middleware,Not applicable,
amar,8DZ6PNVQ,False,Software characteristics (RQ2),Control algorithm,DL-Based,
amar,8DZ6PNVQ,False,Software characteristics (RQ2),Adaptation,"Yes, with user involvement",
amar,8DZ6PNVQ,False,Software characteristics (RQ2),Goal of adaptation,Self healing,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Generation technique,DL-based,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Explanatory question,Why,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Planning level scope,Action level,
amar,8DZ6PNVQ,False,Explanation structure (RQ3),Presentation modality,Text,
amar,8DZ6PNVQ,False,Stakeholder (RQ4),HRI Type,Human supervision,
amar,8DZ6PNVQ,False,Stakeholder (RQ4),Motivation,Transparency,
amar,8DZ6PNVQ,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,8DZ6PNVQ,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,8DZ6PNVQ,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,8DZ6PNVQ,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,8DZ6PNVQ,False,Evaluation (RQ5),Evaluation metrics,Other: Failure Identifcation (FId); Solution Identifcation (SId);,Other
amar,LSM5Q8IZ,False,General information,Code available?,no,
amar,LSM5Q8IZ,False,General information,Project status,Not applicable,
amar,LSM5Q8IZ,False,General information,License,Not applicable,
amar,LSM5Q8IZ,False,General information,Additional information,No additional information,
amar,LSM5Q8IZ,False,Target platform (RQ1),Deployment,Robot simulation,
amar,LSM5Q8IZ,False,Target platform (RQ1),Robotic device,Manipulator (unspecified) => Use if not further specified,
amar,LSM5Q8IZ,False,Target platform (RQ1),Simulation environment,Other: MotionBenchMaker,Other
amar,LSM5Q8IZ,False,Target platform (RQ1),Domain,Underspecified,
amar,LSM5Q8IZ,False,Target platform (RQ1),Use case,Manipulation,
amar,LSM5Q8IZ,False,Target platform (RQ1),Location,Not applicable,
amar,LSM5Q8IZ,False,Target platform (RQ1),Multi Agent System,Underspecified,
amar,LSM5Q8IZ,False,Software characteristics (RQ2),Middleware,Underspecified,
amar,LSM5Q8IZ,False,Software characteristics (RQ2),Control algorithm,Underspecified,
amar,LSM5Q8IZ,False,Software characteristics (RQ2),Adaptation,Underspecified,
amar,LSM5Q8IZ,False,Software characteristics (RQ2),Goal of adaptation,Other: failure explanation via design modification,Other
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Generation technique,Other: failure explanation via design modification,Other
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Explanatory question,Why,
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Planning level scope,Sequence level,
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,LSM5Q8IZ,False,Explanation structure (RQ3),Presentation modality,Text,
amar,LSM5Q8IZ,False,Stakeholder (RQ4),HRI Type,Human supervision,
amar,LSM5Q8IZ,False,Stakeholder (RQ4),Motivation,Failure handling,
amar,LSM5Q8IZ,False,Stakeholder (RQ4),Stakeholder type,Developer,
amar,LSM5Q8IZ,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,LSM5Q8IZ,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,LSM5Q8IZ,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,LSM5Q8IZ,False,Evaluation (RQ5),Evaluation metrics,Satisfaction,
amar,YV5XVI3N,False,General information,Code available?,yes,
amar,YV5XVI3N,False,General information,Project status,unmaintained,
amar,YV5XVI3N,False,General information,License,Underspecified,
amar,YV5XVI3N,False,General information,Additional information,No additional information,
amar,YV5XVI3N,False,Target platform (RQ1),Deployment,Robot simulation,
amar,YV5XVI3N,False,Target platform (RQ1),Robotic device,Mobile platform,
amar,YV5XVI3N,False,Target platform (RQ1),Simulation environment,Gazebo,
amar,YV5XVI3N,False,Target platform (RQ1),Domain,Hospitality and entertainment,
amar,YV5XVI3N,False,Target platform (RQ1),Use case,Navigation,
amar,YV5XVI3N,False,Target platform (RQ1),Location,Laboratory,
amar,YV5XVI3N,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,YV5XVI3N,False,Software characteristics (RQ2),Middleware,ROS1,
amar,YV5XVI3N,False,Software characteristics (RQ2),Control algorithm,BT,
amar,YV5XVI3N,False,Software characteristics (RQ2),Adaptation,"Yes, with user involvement",
amar,YV5XVI3N,False,Software characteristics (RQ2),Goal of adaptation,Other: environment modification / path recovery / deviation reduction,Other
amar,YV5XVI3N,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,YV5XVI3N,False,Explanation structure (RQ3),Generation technique,LIME-based,
amar,YV5XVI3N,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,YV5XVI3N,False,Explanation structure (RQ3),Explanatory question,Why,
amar,YV5XVI3N,False,Explanation structure (RQ3),Planning level scope,Sequence level,
amar,YV5XVI3N,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,YV5XVI3N,False,Explanation structure (RQ3),Presentation modality,Text,
amar,YV5XVI3N,False,Stakeholder (RQ4),HRI Type,Coexistence,
amar,YV5XVI3N,False,Stakeholder (RQ4),Motivation,Trust (increase),
amar,YV5XVI3N,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,YV5XVI3N,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,YV5XVI3N,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,YV5XVI3N,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,YV5XVI3N,False,Evaluation (RQ5),Evaluation metrics,Satisfaction,
amar,S3VKK4ZB,False,General information,Code available?,no,
amar,S3VKK4ZB,False,General information,Project status,Not applicable,
amar,S3VKK4ZB,False,General information,License,Not applicable,
amar,S3VKK4ZB,False,General information,Additional information,No additional information,
amar,S3VKK4ZB,False,Target platform (RQ1),Deployment,Robot simulation,
amar,S3VKK4ZB,False,Target platform (RQ1),Robotic device,Manipulator (unspecified) => Use if not further specified,
amar,S3VKK4ZB,False,Target platform (RQ1),Simulation environment,Webots,
amar,S3VKK4ZB,False,Target platform (RQ1),Domain,Industrial robot,
amar,S3VKK4ZB,False,Target platform (RQ1),Use case,Other: collaborative sorting / human-robot co-manipulation task,Other
amar,S3VKK4ZB,False,Target platform (RQ1),Location,Not applicable,
amar,S3VKK4ZB,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,S3VKK4ZB,False,Software characteristics (RQ2),Middleware,Not applicable,
amar,S3VKK4ZB,False,Software characteristics (RQ2),Control algorithm,Other: rule-based,Other
amar,S3VKK4ZB,False,Software characteristics (RQ2),Adaptation,"Yes, with user involvement",
amar,S3VKK4ZB,False,Software characteristics (RQ2),Goal of adaptation,Other: task performance improvement / error handling in collaboration,Other
amar,S3VKK4ZB,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Generation technique,Rule-based,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Explanatory question,What,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Explanatory question,Why,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Planning level scope,Action level,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Presentation modality,Text,
amar,S3VKK4ZB,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,S3VKK4ZB,False,Stakeholder (RQ4),HRI Type,Collaboration,
amar,S3VKK4ZB,False,Stakeholder (RQ4),Motivation,Trust (unspecified),
amar,S3VKK4ZB,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,S3VKK4ZB,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,S3VKK4ZB,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,S3VKK4ZB,False,Evaluation (RQ5),Evaluation metrics,"Other: Task performance, cognitive load,  trust",Other
amar,ABK72RJG,False,General information,Code available?,no,
amar,ABK72RJG,False,General information,Project status,Not applicable,
amar,ABK72RJG,False,General information,License,Not applicable,
amar,ABK72RJG,False,General information,Additional information,No additional information,
amar,ABK72RJG,False,Target platform (RQ1),Deployment,Robot simulation,
amar,ABK72RJG,False,Target platform (RQ1),Robotic device,Mobile manipulator,
amar,ABK72RJG,False,Target platform (RQ1),Simulation environment,Gazebo,
amar,ABK72RJG,False,Target platform (RQ1),Domain,Hospitality and entertainment,
amar,ABK72RJG,False,Target platform (RQ1),Use case,Navigation,
amar,ABK72RJG,False,Target platform (RQ1),Location,Laboratory,
amar,ABK72RJG,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,ABK72RJG,False,Software characteristics (RQ2),Middleware,ROS1,
amar,ABK72RJG,False,Software characteristics (RQ2),Control algorithm,Other: TEB,Other
amar,ABK72RJG,False,Software characteristics (RQ2),Adaptation,"Yes, autonomous adaptation",
amar,ABK72RJG,False,Software characteristics (RQ2),Goal of adaptation,Self configuration,
amar,ABK72RJG,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,ABK72RJG,False,Explanation structure (RQ3),Generation technique,LIME-based,
amar,ABK72RJG,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,ABK72RJG,False,Explanation structure (RQ3),Explanatory question,Why,
amar,ABK72RJG,False,Explanation structure (RQ3),Planning level scope,Sequence level,
amar,ABK72RJG,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,ABK72RJG,False,Explanation structure (RQ3),Presentation modality,Text,
amar,ABK72RJG,False,Stakeholder (RQ4),HRI Type,Coexistence,
amar,ABK72RJG,False,Stakeholder (RQ4),Motivation,Transparency,
amar,ABK72RJG,False,Stakeholder (RQ4),Motivation,Trust (increase),
amar,ABK72RJG,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,ABK72RJG,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,ABK72RJG,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,ABK72RJG,False,Evaluation (RQ5),Evaluation metrics,"Other: Runtime, explanation frequency;",Other
amar,6V4UHZ92,False,General information,Code available?,no,
amar,6V4UHZ92,False,General information,Project status,Not applicable,
amar,6V4UHZ92,False,General information,License,Not applicable,
amar,6V4UHZ92,False,General information,Additional information,No additional information,
amar,6V4UHZ92,False,Target platform (RQ1),Deployment,Other simulation,
amar,6V4UHZ92,False,Target platform (RQ1),Robotic device,Not applicable => Use if there is no specific robot mentioned,
amar,6V4UHZ92,False,Target platform (RQ1),Simulation environment,Other: planning simulation / abstract planning system,Other
amar,6V4UHZ92,False,Target platform (RQ1),Domain,Other: planning simulation / abstract planning system,Other
amar,6V4UHZ92,False,Target platform (RQ1),Use case,Other: planning simulation / abstract planning system,Other
amar,6V4UHZ92,False,Target platform (RQ1),Location,Not applicable,
amar,6V4UHZ92,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,6V4UHZ92,False,Software characteristics (RQ2),Middleware,Not applicable,
amar,6V4UHZ92,False,Software characteristics (RQ2),Control algorithm,PDDL,
amar,6V4UHZ92,False,Software characteristics (RQ2),Adaptation,"Yes, with user involvement",
amar,6V4UHZ92,False,Software characteristics (RQ2),Goal of adaptation,Other: planning simulation / abstract planning system,Other
amar,6V4UHZ92,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,6V4UHZ92,False,Explanation structure (RQ3),Generation technique,Other: Contrastive + non-contrastive explanations based on planning constraints and model restrictions,Other
amar,6V4UHZ92,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,6V4UHZ92,False,Explanation structure (RQ3),Explanatory question,Why,
amar,6V4UHZ92,False,Explanation structure (RQ3),Planning level scope,Sequence level,
amar,6V4UHZ92,False,Explanation structure (RQ3),Presentation modality,Text,
amar,6V4UHZ92,False,Stakeholder (RQ4),HRI Type,Human supervision,
amar,6V4UHZ92,False,Stakeholder (RQ4),Motivation,Other: AI Planning systems are used... to create a sequence of actions known as a plan,Other
amar,6V4UHZ92,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,6V4UHZ92,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,6V4UHZ92,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,6V4UHZ92,False,Evaluation (RQ5),Evaluation metrics,Other: Permissibility,Other
amar,JKPF5RC9,False,General information,Code available?,yes,
amar,JKPF5RC9,False,General information,Project status,unmaintained,
amar,JKPF5RC9,False,General information,License,Underspecified,
amar,JKPF5RC9,False,General information,Additional information,No additional information,
amar,JKPF5RC9,False,Target platform (RQ1),Deployment,Robot simulation,
amar,JKPF5RC9,False,Target platform (RQ1),Robotic device,Mobile manipulator,
amar,JKPF5RC9,False,Target platform (RQ1),Simulation environment,Gazebo,
amar,JKPF5RC9,False,Target platform (RQ1),Domain,Industrial robot,
amar,JKPF5RC9,False,Target platform (RQ1),Use case,Manipulation,
amar,JKPF5RC9,False,Target platform (RQ1),Location,Not applicable,
amar,JKPF5RC9,False,Target platform (RQ1),Multi Agent System,Multiple humans - multiple robots,
amar,JKPF5RC9,False,Software characteristics (RQ2),Middleware,Underspecified,
amar,JKPF5RC9,False,Software characteristics (RQ2),Control algorithm,PDDL,
amar,JKPF5RC9,False,Software characteristics (RQ2),Adaptation,"Yes, autonomous adaptation",
amar,JKPF5RC9,False,Software characteristics (RQ2),Goal of adaptation,Self healing,
amar,JKPF5RC9,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,JKPF5RC9,False,Explanation structure (RQ3),Generation technique,Other: Model-based diagnosis + planning-based explanation,Other
amar,JKPF5RC9,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,JKPF5RC9,False,Explanation structure (RQ3),Explanatory question,Why,
amar,JKPF5RC9,False,Explanation structure (RQ3),Planning level scope,Sequence level,
